state,total_establishments,employees,annual_payroll,state_name,avg_payroll_per_employee,gdp_proxy,market_potential
AL,114000,1700000,85000000,Alabama,50.0,5700000000.0,5700000000.0
AK,21000,260000,16000000,Alaska,61.53846153846154,1292307692.3076923,1292307692.3076923
AZ,163000,2600000,142000000,Arizona,54.61538461538461,8902307692.307692,8902307692.307692
AR,68000,1000000,46000000,Arkansas,46.0,3128000000.0,3128000000.0
CA,1050000,15300000,1150000000,California,75.16339869281046,78921568627.45099,78921568627.45099
CO,187000,2500000,161000000,Colorado,64.4,12042800000.000002,12042800000.000002
CT,90000,1500000,104000000,Connecticut,69.33333333333333,6240000000.0,6240000000.0
DE,29000,410000,26000000,Delaware,63.41463414634146,1839024390.2439024,1839024390.2439024
DC,24000,520000,51000000,District of Columbia,98.07692307692308,2353846153.846154,2353846153.846154
FL,635000,8300000,465000000,Florida,56.024096385542165,35575301204.819275,35575301204.819275
GA,252000,4000000,235000000,Georgia,58.75,14805000000.0,14805000000.0
HI,34000,520000,27000000,Hawaii,51.92307692307692,1765384615.3846152,1765384615.3846152
ID,56000,700000,32000000,Idaho,45.714285714285715,2560000000.0,2560000000.0
IL,326000,5400000,348000000,Illinois,64.44444444444444,21008888888.88889,21008888888.88889
IN,153000,2700000,131000000,Indiana,48.51851851851852,7423333333.333333,7423333333.333333
IA,83000,1300000,62000000,Iowa,47.69230769230769,3958461538.4615383,3958461538.4615383
KS,76000,1200000,59000000,Kansas,49.166666666666664,3736666666.6666665,3736666666.6666665
KY,92000,1600000,78000000,Kentucky,48.75,4485000000.0,4485000000.0
LA,106000,1600000,81000000,Louisiana,50.625,5366250000.0,5366250000.0
ME,42000,530000,25000000,Maine,47.16981132075472,1981132075.471698,1981132075.471698
MD,142000,2200000,138000000,Maryland,62.72727272727273,8907272727.272726,8907272727.272726
MA,185000,3200000,252000000,Massachusetts,78.75,14568750000.0,14568750000.0
MI,224000,3700000,208000000,Michigan,56.21621621621622,12592432432.432434,12592432432.432434
MN,154000,2600000,162000000,Minnesota,62.30769230769231,9595384615.384617,9595384615.384617
MS,59000,940000,39000000,Mississippi,41.48936170212766,2447872340.425532,2447872340.425532
MO,149000,2400000,121000000,Missouri,50.416666666666664,7512083333.333333,7512083333.333333
MT,41000,410000,19000000,Montana,46.34146341463415,1900000000.0,1900000000.0
NE,56000,870000,43000000,Nebraska,49.42528735632184,2767816091.954023,2767816091.954023
NV,74000,1200000,64000000,Nevada,53.333333333333336,3946666666.666667,3946666666.666667
NH,40000,590000,34000000,New Hampshire,57.6271186440678,2305084745.762712,2305084745.762712
NJ,242000,3600000,251000000,New Jersey,69.72222222222223,16872777777.77778,16872777777.77778
NM,45000,640000,29000000,New Mexico,45.3125,2039062500.0,2039062500.0
NY,552000,7800000,640000000,New York,82.05128205128206,45292307692.30769,45292307692.30769
NC,251000,3900000,211000000,North Carolina,54.1025641025641,13579743589.74359,13579743589.74359
ND,25000,340000,18000000,North Dakota,52.94117647058823,1323529411.764706,1323529411.764706
OH,258000,4800000,252000000,Ohio,52.5,13545000000.0,13545000000.0
OK,96000,1300000,61000000,Oklahoma,46.92307692307692,4504615384.615384,4504615384.615384
OR,121000,1700000,96000000,Oregon,56.470588235294116,6832941176.470588,6832941176.470588
PA,308000,5200000,301000000,Pennsylvania,57.88461538461539,17828461538.46154,17828461538.46154
RI,29000,430000,24000000,Rhode Island,55.81395348837209,1618604651.1627905,1618604651.1627905
SC,116000,1800000,84000000,South Carolina,46.666666666666664,5413333333.333333,5413333333.333333
SD,29000,380000,18000000,South Dakota,47.36842105263158,1373684210.526316,1373684210.526316
TN,157000,2700000,142000000,Tennessee,52.592592592592595,8257037037.037037,8257037037.037037
TX,654000,10800000,651000000,Texas,60.27777777777778,39421666666.666664,39421666666.666664
UT,92000,1400000,74000000,Utah,52.857142857142854,4862857142.857142,4862857142.857142
VT,22000,260000,12000000,Vermont,46.15384615384615,1015384615.3846154,1015384615.3846154
VA,206000,3300000,198000000,Virginia,60.0,12360000000.0,12360000000.0
WA,212000,2900000,212000000,Washington,73.10344827586206,15497931034.482758,15497931034.482758
WV,38000,570000,25000000,West Virginia,43.85964912280702,1666666666.6666667,1666666666.6666667
WI,144000,2500000,126000000,Wisconsin,50.4,7257600000.0,7257600000.0
WY,22000,220000,11000000,Wyoming,50.0,1100000000.0,1100000000.0
